Phenotype,Source
131761#Source of report of L53 other erythematous conditions,Binary
131765#Source of report of L55 sunburn,Binary
131769#Source of report of L57 skin changes due to chronic exposure to nonionising radiation,Binary
131773#Source of report of L59 other disorders of skin and subcutaneous tissue related to radiation,Binary
131775#Source of report of L60 nail disorders,Binary
131779#Source of report of L63 alopecia areata,Binary
131781#Source of report of L64 androgenic alopecia,Binary
131783#Source of report of L65 other nonscarring hair loss,Binary
131785#Source of report of L66 cicatricial alopecia scarring hair loss,Binary
131787#Source of report of L67 hair colour and hair shaft abnormalities,Binary
131789#Source of report of L68 hypertrichosis,Binary
131791#Source of report of L70 acne,Binary
131793#Source of report of L71 rosacea,Binary
131795#Source of report of L72 follicular cysts of skin and subcutaneous tissue,Binary
131797#Source of report of L73 other follicular disorders,Binary
131799#Source of report of L74 eccrine sweat disorders,Binary
131803#Source of report of L80 vitiligo,Binary
131805#Source of report of L81 other disorders of pigmentation,Binary
131807#Source of report of L82 seborrhoeic keratosis,Binary
131809#Source of report of L83 acanthosis nigricans,Binary
131811#Source of report of L84 corns and callosities,Binary
131813#Source of report of L85 other epidermal thickening,Binary
131819#Source of report of L88 pyoderma gangrenosum,Binary
131821#Source of report of L89 decubitus ulcer,Binary
131823#Source of report of L90 atrophic disorders of skin,Binary
131825#Source of report of L91 hypertrophic disorders of skin,Binary
131827#Source of report of L92 granulomatous disorders of skin and subcutaneous tissue,Binary
131829#Source of report of L93 lupus erythematosus,Binary
131831#Source of report of L94 other localised connective tissue disorders,Binary
131833#Source of report of L95 vasculitis limited to skin not elsewhere classified,Binary
131835#Source of report of L97 ulcer of lower limb not elsewhere classified,Binary
131837#Source of report of L98 other disorders of skin and subcutaneous tissue not elsewhere classified,Binary
131849#Source of report of M05 seropositive rheumatoid arthritis,Binary
131851#Source of report of M06 other rheumatoid arthritis,Binary
131853#Source of report of M07 psoriatic and enteropathic arthropathies,Binary
131855#Source of report of M08 juvenile arthritis,Binary
131859#Source of report of M10 gout,Binary
131861#Source of report of M11 other crystal arthropathies,Binary
131863#Source of report of M12 other specific arthropathies,Binary
131865#Source of report of M13 other arthritis,Binary
131867#Source of report of M14 arthropathies in other DCE,Binary
131869#Source of report of M15 polyarthrosis,Binary
131871#Source of report of M16 coxarthrosis arthrosis of hip,Binary
131873#Source of report of M17 gonarthrosis arthrosis of knee,Binary
131875#Source of report of M18 arthrosis of first carpometacarpal joint,Binary
131877#Source of report of M19 other arthrosis,Binary
131879#Source of report of M20 acquired deformities of fingers and toes,Binary
131881#Source of report of M21 other acquired deformities of limbs,Binary
131883#Source of report of M22 disorders of patella,Binary
131885#Source of report of M23 internal derangement of knee,Binary
131887#Source of report of M24 other specific joint derangements,Binary
131889#Source of report of M25 other joint disorders not elsewhere classified,Binary
131891#Source of report of M30 polyarteritis nodosa and related conditions,Binary
131893#Source of report of M31 other necrotising vasculopathies,Binary
131895#Source of report of M32 systemic lupus erythematosus,Binary
131897#Source of report of M33 dermatopolymyositis,Binary
131899#Source of report of M34 systemic sclerosis,Binary
131901#Source of report of M35 other systemic involvement of connective tissue,Binary
131905#Source of report of M40 kyphosis and lordosis,Binary
131907#Source of report of M41 scoliosis,Binary
131909#Source of report of M42 spinal osteochondrosis,Binary
131911#Source of report of M43 other deforming dorsopathies,Binary
131913#Source of report of M45 ankylosing spondylitis,Binary
131917#Source of report of M47 spondylosis,Binary
131919#Source of report of M48 other spondylopathies,Binary
131921#Source of report of M49 spondylopathies in DCE,Binary
131923#Source of report of M50 cervical disk disorders,Binary
131925#Source of report of M51 other intervertebral disk disorders,Binary
131927#Source of report of M53 other dorsopathies not elsewhere classified,Binary
131929#Source of report of M54 dorsalgia,Binary
131931#Source of report of M60 myositis,Binary
131933#Source of report of M61 calcification and ossification of muscle,Binary
131935#Source of report of M62 other disorders of muscle,Binary
131939#Source of report of M65 synovitis and tenosynovitis,Binary
131941#Source of report of M66 spontaneous rupture of synovium and tendon,Binary
131943#Source of report of M67 other disorders of synovium and tendon,Binary
131947#Source of report of M70 soft tissue disorders related to use overuse and pressure,Binary
131949#Source of report of M71 other bursopathies,Binary
131951#Source of report of M72 fibroblastic disorders,Binary
131955#Source of report of M75 shoulder lesions,Binary
131957#Source of report of M76 enthesopathies of lower limb excluding foot,Binary
131959#Source of report of M77 other enthesopathies,Binary
131961#Source of report of M79 other soft tissue disorders not elsewhere classified,Binary
131963#Source of report of M80 osteoporosis with pathological fracture,Binary
131965#Source of report of M81 osteoporosis without pathological fracture,Binary
131967#Source of report of M82 osteoporosis in DCE,Binary
131969#Source of report of M83 adult osteomalacia,Binary
131971#Source of report of M84 disorders of continuity of bone,Binary
131973#Source of report of M85 other disorders of bone density and structure,Binary
131975#Source of report of M86 osteomyelitis,Binary
131977#Source of report of M87 osteonecrosis,Binary
131979#Source of report of M88 pagets disease of bone osteitis deformans,Binary
131981#Source of report of M89 other disorders of bone,Binary
131983#Source of report of M90 osteopathies in DCE,Binary
131985#Source of report of M91 juvenile osteochondrosis of hip and pelvis,Binary
131987#Source of report of M92 other juvenile osteochondrosis,Binary
131989#Source of report of M93 other osteochondropathies,Binary
131991#Source of report of M94 other disorders of cartilage,Binary
131993#Source of report of M95 other acquired deformities of musculoskeletal system and connective tissue,Binary
131997#Source of report of M99 biomechanical lesions not elsewhere classified,Binary
131999#Source of report of N00 acute nephritic syndrome,Binary
132003#Source of report of N02 recurrent and persistent haematuria,Binary
132005#Source of report of N03 chronic nephritic syndrome,Binary
132007#Source of report of N04 nephrotic syndrome,Binary
132009#Source of report of N05 unspecified nephritic syndrome,Binary
132015#Source of report of N08 glomerular disorders in DCE,Binary
132017#Source of report of N10 acute tubulo interstitial nephritis,Binary
132019#Source of report of N11 chronic tubulo interstitial nephritis,Binary
132021#Source of report of N12 tubulo interstitial nephritis not specified as acute or chronic,Binary
132023#Source of report of N13 obstructive and reflux uropathy,Binary
132025#Source of report of N14 drug and heavy metal induced tubulo interstitial and tubular conditions,Binary
132027#Source of report of N15 other renal tubulo interstitial diseases,Binary
132029#Source of report of N16 renal tubulo interstitial disorders in DCE,Binary
132031#Source of report of N17 acute renal failure,Binary
132033#Source of report of N18 chronic renal failure,Binary
132035#Source of report of N19 unspecified renal failure,Binary
132037#Source of report of N20 calculus of kidney and ureter,Binary
132039#Source of report of N21 calculus of lower urinary tract,Binary
132043#Source of report of N23 unspecified renal colic,Binary
132045#Source of report of N25 disorders resulting from impaired renal tubular function,Binary
132047#Source of report of N26 unspecified contracted kidney,Binary
132049#Source of report of N27 small kidney of unknown cause,Binary
132051#Source of report of N28 other disorders of kidney and ureter not elsewhere classified,Binary
132053#Source of report of N29 other disorders of kidney and ureter in DCE,Binary
132057#Source of report of N31 neuromuscular dysfunction of bladder not elsewhere classified,Binary
132059#Source of report of N32 other disorders of bladder,Binary
132063#Source of report of N34 urethritis and urethral syndrome,Binary
132065#Source of report of N35 urethral stricture,Binary
132067#Source of report of N36 other disorders of urethra,Binary
132073#Source of report of N40 hyperplasia of prostate,Binary
132075#Source of report of N41 inflammatory diseases of prostate,Binary
132077#Source of report of N42 other disorders of prostate,Binary
132079#Source of report of N43 hydrocele and spermatocele,Binary
